user_id,age,gender,device_type,time_on_site,pages_viewed,previous_purchases,cart_items,discount_seen,ad_clicked,returning_user,avg_session_time,bounce_rate,purchase
1.0,56.0,Female,Desktop,12.9,8.0,13.0,1.0,1.0,,0.0,6.97,28.18,1.0
2.0,46.0,Male,Mobile,15.63,9.0,4.0,6.0,1.0,1.0,1.0,19.17,86.73,1.0
3.0,32.0,Female,,11.64,12.0,11.0,0.0,0.0,0.0,1.0,8.87,83.09,1.0
4.0,25.0,Female,Mobile,22.71,5.0,10.0,1.0,0.0,0.0,1.0,,79.03,1.0
5.0,38.0,Female,Mobile,26.35,9.0,12.0,4.0,1.0,0.0,0.0,18.15,55.35,1.0
6.0,56.0,Female,Desktop,26.6,1.0,12.0,7.0,1.0,1.0,0.0,28.4,13.9,1.0
7.0,36.0,Male,Mobile,7.6,11.0,11.0,6.0,1.0,1.0,1.0,4.51,13.12,1.0
8.0,40.0,Female,Mobile,26.98,7.0,5.0,2.0,1.0,0.0,0.0,33.34,12.61,1.0
9.0,28.0,Female,Mobile,10.9,14.0,7.0,9.0,0.0,0.0,1.0,13.8,85.46,1.0
10.0,28.0,Female,Mobile,9.97,3.0,14.0,8.0,0.0,0.0,0.0,14.12,14.16,1.0
11.0,41.0,Female,Tablet,22.08,11.0,14.0,4.0,1.0,1.0,0.0,23.43,80.85,1.0
12.0,53.0,Female,Mobile,9.84,17.0,6.0,2.0,1.0,0.0,0.0,5.97,84.47,1.0
13.0,57.0,Male,Desktop,2.54,18.0,6.0,6.0,0.0,0.0,1.0,3.37,10.5,1.0
14.0,41.0,Male,Desktop,11.83,19.0,0.0,3.0,1.0,1.0,1.0,9.63,90.2,1.0
15.0,20.0,Female,Desktop,21.92,18.0,2.0,0.0,1.0,0.0,0.0,30.68,89.75,1.0
16.0,39.0,Male,Mobile,10.48,6.0,2.0,4.0,0.0,1.0,0.0,15.49,63.82,1.0
17.0,,Male,Desktop,19.26,15.0,6.0,7.0,0.0,0.0,0.0,12.18,51.3,1.0
18.0,41.0,Female,Mobile,20.14,7.0,11.0,3.0,1.0,0.0,0.0,11.74,64.73,1.0
19.0,47.0,Female,Desktop,22.28,5.0,13.0,6.0,1.0,0.0,1.0,31.14,40.48,1.0
20.0,55.0,Female,Mobile,27.02,5.0,1.0,7.0,1.0,0.0,0.0,37.8,58.87,1.0
21.0,19.0,Male,Mobile,,7.0,9.0,8.0,0.0,0.0,0.0,14.69,96.95,1.0
22.0,38.0,Female,Mobile,5.83,12.0,6.0,8.0,1.0,1.0,0.0,8.09,11.33,1.0
23.0,50.0,Male,Desktop,10.25,8.0,8.0,4.0,0.0,0.0,0.0,14.66,23.38,1.0
24.0,29.0,Male,Mobile,13.53,18.0,0.0,5.0,1.0,0.0,1.0,14.28,52.41,1.0
25.0,39.0,Male,Mobile,21.7,18.0,11.0,6.0,1.0,0.0,1.0,25.75,25.86,1.0
26.0,42.0,Female,Mobile,1.38,17.0,13.0,9.0,0.0,0.0,1.0,1.54,99.28,1.0
27.0,,Male,Tablet,10.16,11.0,1.0,1.0,0.0,1.0,1.0,6.85,72.03,1.0
28.0,59.0,Female,Desktop,23.62,15.0,10.0,8.0,1.0,0.0,0.0,22.11,43.4,1.0
29.0,45.0,Female,Mobile,20.45,6.0,5.0,0.0,0.0,1.0,1.0,24.16,90.27,1.0
30.0,33.0,Female,Desktop,22.22,12.0,1.0,5.0,1.0,1.0,1.0,24.67,14.44,1.0
31.0,32.0,Female,Mobile,24.54,7.0,13.0,5.0,0.0,1.0,0.0,17.55,28.79,1.0
32.0,20.0,Female,Mobile,23.71,8.0,11.0,6.0,0.0,1.0,1.0,33.43,95.59,1.0
33.0,54.0,Male,Tablet,20.78,,1.0,1.0,1.0,0.0,1.0,26.68,55.7,1.0
34.0,24.0,Male,Mobile,13.75,3.0,4.0,5.0,0.0,1.0,1.0,7.82,92.07,1.0
35.0,38.0,Male,Mobile,29.52,3.0,6.0,5.0,1.0,0.0,,24.92,98.42,1.0
36.0,26.0,Male,Mobile,17.5,10.0,3.0,8.0,,1.0,1.0,26.17,36.02,1.0
37.0,56.0,Male,Mobile,6.88,15.0,12.0,7.0,0.0,1.0,1.0,6.12,57.65,1.0
38.0,35.0,Female,Mobile,9.49,13.0,5.0,4.0,,1.0,0.0,11.04,84.67,1.0
39.0,21.0,,Mobile,21.11,19.0,11.0,6.0,1.0,1.0,0.0,12.68,27.27,1.0
40.0,42.0,Male,Mobile,27.82,8.0,2.0,6.0,0.0,1.0,0.0,22.56,44.68,1.0
41.0,31.0,Male,Mobile,6.18,18.0,3.0,4.0,1.0,0.0,0.0,8.54,15.33,1.0
