alltime_rank,song_title,artist,total_streams_billions,primary_genre,bpm,release_year,artist_country,explicit,danceability,energy,valence,acousticness,dataset_part
1,Blinding Lights,The Weeknd,5.26,Synth-Pop,171,2019,Canada,False,0.51,0.8,0.33,0.0,Spotify All-Time Most Streamed Top 100
2,Shape of You,Ed Sheeran,4.9,Pop/Dancehall,96,2017,UK,False,0.83,0.65,0.93,0.08,Spotify All-Time Most Streamed Top 100
3,Someone You Loved,Lewis Capaldi,4.05,Pop,77,2018,UK,False,0.6,0.45,0.42,0.29,Spotify All-Time Most Streamed Top 100
4,Sunflower,Post Malone & Swae Lee,3.98,Hip-Hop/Pop,93,2018,USA,False,0.76,0.49,0.84,0.15,Spotify All-Time Most Streamed Top 100
5,One Dance,Drake,3.92,Afrobeats/Pop,100,2016,Canada,False,0.79,0.62,0.68,0.09,Spotify All-Time Most Streamed Top 100
6,Stay,The Kid LAROI & Justin Bieber,3.87,Pop,170,2021,Australia,True,0.59,0.8,0.6,0.0,Spotify All-Time Most Streamed Top 100
7,Believer,Imagine Dragons,3.76,Alt Rock,125,2017,USA,False,0.33,0.86,0.45,0.07,Spotify All-Time Most Streamed Top 100
8,Rockstar,Post Malone ft. 21 Savage,3.72,Hip-Hop,159,2017,USA,True,0.55,0.52,0.13,0.08,Spotify All-Time Most Streamed Top 100
9,Dance Monkey,Tones and I,3.69,Pop,98,2019,Australia,False,0.83,0.63,0.73,0.14,Spotify All-Time Most Streamed Top 100
10,Happier,Marshmello & Bastille,3.65,EDM/Pop,100,2018,USA/UK,False,0.62,0.82,0.96,0.02,Spotify All-Time Most Streamed Top 100
11,Senorita,Shawn Mendes & Camila Cabello,3.62,Latin Pop,117,2019,Canada/Cuba,False,0.75,0.74,0.75,0.14,Spotify All-Time Most Streamed Top 100
12,Watermelon Sugar,Harry Styles,3.58,Indie Pop,95,2019,UK,False,0.55,0.82,0.74,0.12,Spotify All-Time Most Streamed Top 100
13,Perfect,Ed Sheeran,3.55,Pop/Folk,95,2017,UK,False,0.66,0.43,0.41,0.37,Spotify All-Time Most Streamed Top 100
14,Levitating,Dua Lipa,3.52,Nu-Disco,103,2020,UK,False,0.7,0.82,0.91,0.0,Spotify All-Time Most Streamed Top 100
15,Heat Waves,Glass Animals,3.4,Indie Pop,80,2020,UK,False,0.51,0.54,0.58,0.22,Spotify All-Time Most Streamed Top 100
16,Bad Guy,Billie Eilish,3.37,Electropop,135,2019,USA,False,0.7,0.43,0.56,0.0,Spotify All-Time Most Streamed Top 100
17,Drivers License,Olivia Rodrigo,3.34,Pop,73,2021,USA,False,0.59,0.43,0.13,0.28,Spotify All-Time Most Streamed Top 100
18,Circles,Post Malone,3.31,Pop Rap,121,2019,USA,False,0.69,0.55,0.72,0.09,Spotify All-Time Most Streamed Top 100
19,Memories,Maroon 5,3.28,Pop,91,2019,USA,False,0.76,0.36,0.7,0.52,Spotify All-Time Most Streamed Top 100
20,Shallow,Lady Gaga & Bradley Cooper,3.25,Pop/Country,96,2018,USA,False,0.59,0.55,0.37,0.22,Spotify All-Time Most Streamed Top 100
21,As It Was,Harry Styles,3.22,Indie Pop,174,2022,UK,False,0.52,0.73,0.36,0.0,Spotify All-Time Most Streamed Top 100
22,Dynamite,BTS,3.19,Pop/Funk,114,2020,South Korea,False,0.74,0.77,0.74,0.01,Spotify All-Time Most Streamed Top 100
23,Flowers,Miley Cyrus,3.16,Pop,118,2023,USA,False,0.74,0.74,0.88,0.1,Spotify All-Time Most Streamed Top 100
24,Counting Stars,OneRepublic,3.14,Pop Rock,122,2013,USA,False,0.62,0.8,0.58,0.12,Spotify All-Time Most Streamed Top 100
25,Lucid Dreams,Juice WRLD,3.11,Emo Rap,84,2018,USA,True,0.51,0.49,0.22,0.07,Spotify All-Time Most Streamed Top 100
26,Closer,The Chainsmokers ft. Halsey,3.08,EDM/Pop,95,2016,USA,True,0.74,0.65,0.77,0.04,Spotify All-Time Most Streamed Top 100
27,Calm Down,Rema & Selena Gomez,3.02,Afrobeats/Pop,106,2022,Nigeria/USA,False,0.8,0.72,0.78,0.08,Spotify All-Time Most Streamed Top 100
28,Anti-Hero,Taylor Swift,2.99,Indie Pop,97,2022,USA,False,0.64,0.58,0.47,0.1,Spotify All-Time Most Streamed Top 100
29,Save Your Tears,The Weeknd,2.88,Synth-Pop,118,2020,Canada,False,0.68,0.82,0.78,0.01,Spotify All-Time Most Streamed Top 100
30,Die For You,The Weeknd,2.86,R&B,95,2016,Canada,False,0.4,0.55,0.32,0.04,Spotify All-Time Most Streamed Top 100
31,Lovely,Billie Eilish & Khalid,2.84,Indie Pop,95,2018,USA,False,0.35,0.3,0.08,0.5,Spotify All-Time Most Streamed Top 100
32,Uptown Funk,Mark Ronson ft. Bruno Mars,2.53,Funk/Pop,115,2014,USA,False,0.9,0.96,0.82,0.02,Spotify All-Time Most Streamed Top 100
33,Sweater Weather,The Neighbourhood,2.47,Indie Rock,124,2013,USA,False,0.59,0.64,0.5,0.26,Spotify All-Time Most Streamed Top 100
34,Cruel Summer,Taylor Swift,2.72,Synth-Pop,170,2019,USA,False,0.55,0.7,0.57,0.12,Spotify All-Time Most Streamed Top 100
35,Despacito,Luis Fonsi ft. Daddy Yankee,2.15,Reggaeton,178,2017,Puerto Rico,False,0.69,0.81,0.81,0.22,Spotify All-Time Most Streamed Top 100
